"data","municipio","codmun","pop","casos","obitos","casos_100k","obitos_100k"
"2022-08-17","Cairu",290540,18176,1911,19,10513.8644366197,104.533450704225
"2022-08-17","Caldeirão Grande",290550,13327,730,7,5477.60186088392,52.5249493509417
"2022-08-17","Camacan",290560,31988,3720,99,11629.3610103789,309.49105914718
"2022-08-17","Camaçari",290570,299132,33533,683,11210.1012262145,228.327293636254
"2022-08-17","Camamu",290580,35316,3147,64,8910.97519537887,181.22097632801
"2022-08-17","Campo Alegre de Lourdes",290590,28798,1303,40,4524.61976526148,138.89853462046
"2022-08-17","Campo Formoso",290600,71206,6838,83,9603.12333230346,116.563210965368
"2022-08-17","Canápolis",290610,9711,876,10,9020.69817732468,102.976006590464
"2022-08-17","Canarana",290620,26176,1804,45,6891.80929095355,171.913202933985
"2022-08-17","Canavieiras",290630,31099,1724,80,5543.58661050194,257.242998167144
"2022-08-17","Candeal",290640,8258,785,7,9505.93364010656,84.766287236619
"2022-08-17","Candeias",290650,87076,10114,205,11615.1407965455,235.426523956084
"2022-08-17","Candiba",290660,14319,1425,18,9951.81227739367,125.707102451288
"2022-08-17","Cândido Sales",290670,25189,2418,60,9599.42832188654,238.199213942594
"2022-08-17","Cansanção",290680,34834,1838,46,5276.45403915715,132.054888901648
"2022-08-17","Canudos",290682,16668,1065,18,6389.48884089273,107.991360691145
"2022-08-17","Capela do Alto Alegre",290685,11637,1394,19,11979.0323966658,163.272321044943
"2022-08-17","Capim Grosso",290687,30662,4211,39,13733.6116365534,127.193268540865
"2022-08-17","Caraíbas",290689,8951,646,8,7217.07071835549,89.3754887722042
"2022-08-17","Caravelas",290690,22016,2115,18,9606.64970930233,81.7587209302326
"2022-08-17","Cardeal da Silva",290700,9295,693,7,7455.62130177515,75.3093060785368
"2022-08-17","Carinhanha",290710,29018,1806,34,6223.72320628575,117.168653938934
"2022-08-17","Casa Nova",290720,71969,3444,81,4785.3937111812,112.548458364018
"2022-08-17","Castro Alves",290730,26264,2738,45,10424.9162351508,171.337191593055
"2022-08-17","Catolândia",290740,3577,357,1,9980.43052837573,27.9563880346659
"2022-08-17","Catu",290750,54704,8519,106,15572.9014331676,193.770108218777
"2022-08-17","Caturama",290755,9329,280,10,3001.39350412692,107.19262514739
"2022-08-17","Central",290760,17266,1116,20,6463.57002200857,115.834588208039
"2022-08-17","Chorrochó",290770,11177,809,14,7238.07819629596,125.257224657779
"2022-08-17","Cícero Dantas",290780,32515,2956,59,9091.1886821467,181.454713209288
"2022-08-17","Cipó",290790,17300,1843,19,10653.1791907514,109.826589595376
"2022-08-17","Coaraci",290800,16993,2575,59,15153.2984169952,347.20178897193
"2022-08-17","Cocos",290810,18777,2097,24,11167.9181977952,127.815945039144
"2022-08-17","Conceição da Feira",290820,22581,2310,35,10229.8392453833,154.997564323989
"2022-08-17","Conceição do Almeida",290830,17247,3835,32,22235.7511451267,185.539514118397
"2022-08-17","Conceição do Coité",290840,66612,10572,54,15871.01423167,81.0664745090975
"2022-08-17","Conceição do Jacuípe",290850,33153,4498,46,13567.3996320092,138.750640967635
"2022-08-17","Conde",290860,25837,1283,17,4965.74679722878,65.7971126678794
"2022-08-17","Condeúba",290870,17247,2115,35,12263.0022612628,202.933843566997
"2022-08-17","Contendas do Sincorá",290880,4066,383,7,9419.57697983276,172.159370388588
"2022-08-17","Coração de Maria",290890,22605,2820,24,12475.1161247512,106.171201061712
"2022-08-17","Cordeiros",290900,8614,933,10,10831.2050150917,116.090085906664
"2022-08-17","Coribe",290910,14194,1830,23,12892.7715936311,162.040298717768
"2022-08-17","Coronel João Sá",290920,15895,1731,21,10890.2170493866,132.117017930167
"2022-08-17","Correntina",290930,32137,4303,50,13389.5509848461,155.583906400722
"2022-08-17","Cotegipe",290940,13782,1351,25,9802.64112610652,181.396023799158
"2022-08-17","Cravolândia",290950,5349,812,2,15180.4075528136,37.3901663862404
"2022-08-17","Crisópolis",290960,21103,718,18,3402.35985404919,85.2959294886983
"2022-08-17","Cristópolis",290970,13910,1378,10,9906.54205607477,71.8907260963336
"2022-08-17","Cruz das Almas",290980,63239,8163,79,12908.1737535382,124.922911494489
"2022-08-17","Curaçá",290990,34700,2047,41,5899.13544668588,118.155619596542
"2022-08-17","Dário Meira",291000,10710,1187,22,11083.0999066293,205.415499533147
"2022-08-17","Dias d'Ávila",291005,81089,7127,181,8789.10826375957,223.211533006943
"2022-08-17","Dom Basílio",291010,12199,1549,19,12697.7621116485,155.750471350111
"2022-08-17","Dom Macedo Costa",291020,4058,469,10,11557.4174470182,246.426811237063
"2022-08-17","Elísio Medrado",291030,8122,779,10,9591.23368628417,123.122383649347
"2022-08-17","Encruzilhada",291040,17006,937,24,5509.820063507,141.126661178408
"2022-08-17","Entre Rios",291050,41780,2395,52,5732.40785064624,124.461464815701
"2022-08-17","Esplanada",291060,37237,3153,38,8467.38459059537,102.049037247899
"2022-08-17","Euclides da Cunha",291070,60585,4360,69,7196.50078402245,113.889576627878
"2022-08-17","Eunápolis",291072,113380,17449,265,15389.8394778621,233.72728876345
"2022-08-17","Fátima",291075,17890,1598,19,8932.36444941308,106.204583566238
"2022-08-17","Feira da Mata",291077,5665,574,6,10132.3918799647,105.913503971756
"2022-08-17","Feira de Santana",291080,614872,73182,1177,11901.9893571345,191.421954488089
"2022-08-17","Filadélfia",291085,16377,1245,34,7602.1249313061,207.608231055749
"2022-08-17","Firmino Alves",291090,5617,474,14,8438.66832828912,249.243368346092
"2022-08-17","Floresta Azul",291100,10629,1151,24,10828.8644275096,225.797346881174
"2022-08-17","Formosa do Rio Preto",291110,25591,2606,35,10183.2675549998,136.766832089406
"2022-08-17","Gandu",291120,32403,3533,62,10903.3114217819,191.340307996173
"2022-08-17","Gavião",291125,4463,614,5,13757.5621779072,112.032265292404
"2022-08-17","Gentio do Ouro",291130,11233,948,13,8439.41956734621,115.730437104959
"2022-08-17","Glória",291140,15221,1910,26,12548.4527954799,170.816634912292
"2022-08-17","Gongogi",291150,7128,1028,20,14421.9977553311,280.583613916947
"2022-08-17","Governador Mangabeira",291160,20722,1861,22,8980.79335971431,106.167358363092
